vote_2016,vote_2020,sex,race,household_income,education,state,age,vote_trump,vote_biden,not_sure,someone_else
Donald Trump,Joe Biden,female,white,"$35,000 to $39,999","Completed some college, but no degree",MD,27,0,1,0,0
Hillary Clinton,Joe Biden,female,white,NA,Masters degree,FL,65,0,1,0,0
Was not eligible to vote,Joe Biden,male,american indian or alaska native,"$30,000 to $34,999",Completed some high school,NY,25,0,1,0,0
Was not eligible to vote,Donald Trump,female,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NY,35,1,0,0,0
Donald Trump,Donald Trump,female,black/african american/negro,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",GA,27,1,0,0,0
Donald Trump,Donald Trump,female,white,"$45,000 to $49,999",High school graduate,FL,67,1,0,0,0
Was not eligible to vote,Donald Trump,female,white,"$20,000 to $24,999",High school graduate,OK,18,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,chinese,NA,Associate Degree,NY,36,0,1,0,0
Gary Johnson,Donald Trump,female,white,NA,Masters degree,PA,62,1,0,0,0
Donald Trump,Donald Trump,female,white,"$70,000 to $74,999",Associate Degree,OH,68,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",IN,42,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",MI,22,0,1,0,0
Hillary Clinton,Joe Biden,female,white,NA,High school graduate,FL,75,0,1,0,0
Donald Trump,Donald Trump,female,white,"$15,000 to $19,999",High school graduate,TN,61,1,0,0,0
Donald Trump,Joe Biden,male,white,"$95,000 to $99,999",Masters degree,CA,41,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",MA,58,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",CA,73,0,1,0,0
Donald Trump,Donald Trump,male,white,"$250,000 and above",Masters degree,NY,50,1,0,0,0
